Country,3TC,ABC,AZT,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Computed Overall Treatment Impact,Given Overall Treatment Impact,Diff (Computed - Given)
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,2452.08,144.93,1014.79,1649.46,567.06,265.57,1076.33,1899.79,31.33,9101.34,9126.56,-25.219999999999345
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,8.48,0.03,3.16,6.56,2.39,0.71,3.47,7.93,0.13,32.86,32.86,0.0
Sierra Leone,230.22,7.36,90.64,166.01,59.07,22.46,97.67,196.56,3.33,873.32,874.52,-1.1999999999999318
Singapore,2.23,0.01,0.83,1.72,0.63,0.19,0.91,2.08,0.04,8.639999999999999,8.64,-1.7763568394002505e-15
Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,13.46,0.05,5.01,10.41,3.79,1.13,5.5,12.57,0.21,52.13,52.14,-0.00999999999999801
Somalia,245.76,18.58,104.79,157.38,53.62,29.34,110.02,179.51,3.12,902.12,905.41,-3.2899999999999636
South Africa,30935.22,3314.4,14444.81,17476.86,5577.15,3925.12,14886.25,18926.67,305.56,109792.04000000001,110371.69,-579.6499999999942
South Sudan,2371.79,90.37,947.7,1677.44,596.55,242.19,1016.32,1983.04,34.54,8959.940000000002,8975.11,-15.169999999998254
Spain,6334.81,64.87,2360.52,4874.83,1737.71,520.56,2587.03,5807.88,91.14,24379.35,24386.72,-7.370000000002619
Sri Lanka,20.85,1.47,8.95,13.39,4.57,2.39,9.41,15.31,0.26,76.60000000000001,76.87,-0.269999999999996
Sudan,102.12,5.31,41.93,69.54,24.39,11.09,44.58,81.24,1.42,381.62000000000006,382.56,-0.9399999999999409
Suriname,21.26,0.38,8.16,15.9,5.67,1.86,8.87,18.91,0.31,81.32000000000001,81.38,-0.05999999999998806
Swaziland,2188.45,175.74,964.71,1361.4,450.17,248.45,1009.12,1521.64,23.9,7943.579999999999,7973.9,-30.32000000000062
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,85.59,10.75,42.58,43.65,13.5,11.55,43.38,45.93,0.78,297.71,299.58,-1.8700000000000045
Tanzania,4516.53,18.04,1680.14,3493.68,1271.96,379.2,1844.66,4219.16,70.95,17494.32,17494.3,0.020000000000436557
Thailand,11191.26,54.65,4124.47,8716.23,3134.06,906.19,4536.34,10447.96,166.87,43278.030000000006,43280.2,-2.169999999990978
The Former Yugoslav Republic of Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,4.05,0.02,1.51,3.12,1.14,0.34,1.66,3.78,0.06,15.68,15.68,0.0
Togo,809.51,47.43,335.81,544.0,187.11,87.29,356.15,626.78,10.34,3004.42,3012.62,-8.199999999999818
Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,0.12,0.0,0.05,0.1,0.04,0.01,0.05,0.12,0.0,0.49,0.48,0.010000000000000009
Trinidad and Tobago,148.29,3.68,57.79,108.96,38.54,13.31,62.58,128.74,2.06,563.9499999999999,564.51,-0.5600000000000591
Tunisia,48.46,0.2,18.09,37.38,13.65,4.12,19.84,45.23,0.77,187.73999999999998,187.74,-2.842170943040401e-14
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,59920.99,4624.63,26052.85,37853.5,12631.2,6813.7,27316.3,42585.22,681.53,218479.92,219282.13,-802.2099999999919
Ukraine,2939.45,42.01,1125.13,2206.08,798.45,262.35,1225.11,2649.11,45.13,11292.82,11298.28,-5.460000000000946
United Arab Emirates,27.44,0.11,10.21,21.23,7.73,2.3,11.2,25.63,0.43,106.28,106.28,0.0
United Kingdom of Great Britain and Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,754.58,3.01,280.64,583.8,212.5,63.31,308.14,704.94,11.84,2922.76,2922.77,-0.009999999999763531
Uruguay,27.27,0.4,10.35,20.61,7.36,2.34,11.29,24.56,0.4,104.58,104.63,-0.04999999999999716
US Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,142.34,1.47,54.04,107.87,39.18,12.46,59.0,129.93,2.22,548.51,548.66,-0.14999999999997726
Vanuatu,16.68,0.07,6.2,12.9,4.7,1.4,6.81,15.58,0.26,64.60000000000001,64.59,0.010000000000005116
Venezuela,629.35,2.24,227.14,498.04,176.23,47.9,250.81,592.26,8.83,2432.7999999999997,2432.81,-0.010000000000218279
Viet Nam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wallis and Futuna Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bank and Gaza Strip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,7.77,0.62,3.37,4.89,1.65,0.93,3.53,5.54,0.1,28.4,28.51,-0.11000000000000298
Zambia,20236.2,2806.44,9888.28,10325.48,3075.17,2842.7,10049.21,10586.87,164.16,69974.51000000001,70473.31,-498.79999999998836
Zimbabwe,52929.81,5400.58,24512.04,30429.67,9741.31,6523.24,25328.34,33087.55,521.85,188474.39,189414.55,-940.1599999999744
,,,,,,,,,,0.0,,
Sources / More details,,,,,,,,,3892.52,3892.52,,
WHO groupings (A & B):,,,,,,,,,2211955.58,2211955.58,,
Antiretroviral coverage:,,,,,,,,,68470.08,68470.08,,
Regimen breakdowns,,,,,,,,,194717.92,194717.92,,
Drugs and manufacturers,,,,,,,,,38879.91,38879.91,,
,,,,,,,,,121820.7,121820.7,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
,,,,,,,,,,0.0,,
